date,open,high,low,close
2015-11-10,112.68217934477494,112.35830242210731,112.73634044996349,112.58301902695153
2015-11-11,112.6641047480817,112.62805223456232,112.6641047480817,112.62805223456232
2015-11-12,112.91674958088608,112.62805223456232,113.12516666140614,112.77221614142255
2015-11-13,113.51449593943161,113.06072836692029,113.54183784933272,113.13308723307512
2015-11-16,112.93438629749093,112.87130956374143,113.23270013306421,113.1692898209897
2015-11-17,113.25987598109614,113.00659936361588,113.6054299985415,113.19645045054673
2015-11-18,113.15117187036651,113.02458433591029,113.38701686544664,113.15117187036651
2015-11-19,113.62286186052677,113.25062555718827,113.65019475969939,113.38652630785688
2015-11-20,113.15085201862479,112.93417441163149,113.25044070259062,113.2323206320782
2015-11-23,113.69541993859269,113.38626732519603,113.91466227175405,113.42255093074007
2015-11-24,113.4951645997098,113.16010347386688,113.57696619187743,113.45884614703789
2015-11-25,113.61329845201065,113.41349888638761,113.63149696209426,113.50422968549671
2015-11-26,113.55869428707324,113.55869428707324,113.60412139895702,113.5950330692451
2015-11-27,113.61320827453618,113.4498405042101,113.69506872401747,113.61320827453618
2015-11-30,113.83152028403087,113.72225950628265,114.07812632171593,113.74045506780365
2015-12-01,114.97596854013656,114.31370696134537,115.17985950482164,114.31370696134537
2015-12-02,113.79343537903969,113.79343537903969,114.22208741581254,114.01191877496744
2015-12-03,111.47691725765726,111.4328308393793,112.94254291344174,112.70762242418179
2015-12-04,113.41260995819032,113.02287590335119,113.915041979753,113.14041969429067
2015-12-07,113.92188914202252,113.18556030221214,113.98597249335603,113.4753153365858
2015-12-08,113.72978504901768,113.37565637700875,113.81182144121462,113.60240768976277
2015-12-09,113.84810338085725,113.57517361408199,114.25078156001786,113.70237780852976
2015-12-10,113.34807989110145,113.23950893335135,113.53858086570833,113.49316543336205
2015-12-11,115.37922481374866,114.30953251208666,115.40715490932207,114.41926966329828
2015-12-14,112.93555121022607,112.7830204745008,113.61343567127184,113.56799029700333
2015-12-15,112.7264107673124,112.58287881026347,113.3677742711572,113.17731641038165
2015-12-16,112.63536597266236,112.47379149166872,113.2136319298459,112.90569085099673
2015-12-17,114.09445837241455,113.54689258275332,114.11280153292458,113.56506008556654
2015-12-18,113.99295473235358,113.51972835153909,114.02952023507447,113.75584938651029
2015-12-21,113.919775836671,113.62867683269641,114.11162148964374,113.83775359806859
2015-12-22,113.07532565178906,112.98524014696768,113.47341449229782,113.45525874597907
2015-12-23,113.04756996185633,113.02951845367879,113.44616705123222,113.25557749058615
2015-12-24,113.49137545781508,113.3280262847589,113.57322675832958,113.38242373737559
2015-12-28,113.69134291415824,113.32808277224864,113.72779705216678,113.50034145806245
2015-12-29,112.12851799260243,112.0305269146713,112.90961984746319,112.81025938199743
2015-12-30,112.99084247689417,112.85535101977102,113.21738598975988,112.93660687250527
2015-12-31,113.47112153683044,113.13532760762443,113.48932935479208,113.16248008625027
2016-01-04,113.85327112934708,113.00910671772074,113.85327112934708,113.39785804482969
2016-01-05,113.45229772704033,113.2891352662632,113.6796934973583,113.43414535940401
2016-01-06,114.66573693279307,114.04205511296985,114.7395600372082,114.06030184178792
2016-01-07,114.56353596671158,113.9783750487651,114.7199806700158,114.25192314888213
2016-01-08,114.90285289880754,114.5169028170937,115.5612422584892,114.55354822599517
2016-01-11,113.56767021114082,113.56767021114082,114.04935127077512,114.01285547836848
2016-01-12,115.29699061649977,114.42248250403928,115.52935053309892,114.65132746904736
2016-01-13,115.0189764267804,114.33155725138727,115.33333697328445,114.7797369558127
2016-01-14,114.65132746904736,114.39536851759358,115.06509839984432,114.7797369558127
2016-01-15,115.8688338487675,114.80717215706099,115.8688338487675,115.2755854194618
2016-01-18,115.17416724465463,115.17416724465463,115.22024428387877,115.20180904479335
2016-01-19,115.01761876732147,114.77905011251887,115.38659019652133,115.10043145283394
2016-01-20,116.35957388185466,115.27470097212665,116.35957388185466,115.72657779993737
2016-01-21,115.06169481225822,114.69560606007158,115.42088844850875,115.35625275097759
2016-01-22,114.88642613459844,114.69407861416262,115.38400930842491,115.08862624459533
2016-01-25,116.0502408609236,115.53046052914628,116.09687735057997,115.55818783967328
2016-01-26,115.60441851171669,115.19885365646908,115.80827369024007,115.58592180475482
2016-01-27,115.45661040110558,115.37363431761041,116.05012229393054,115.58592180475482
2016-01-28,115.90992526968887,115.67830924125451,116.3011352392587,115.78010615338681
2016-01-29,116.92524551144943,116.21502183347066,116.97227521360992,116.3265882544308
2016-02-01,115.91767478609215,115.65895060163535,116.2240896585642,116.07532282380124
2016-02-02,117.84325223098139,116.93857792357043,117.9287836237297,116.98535335473986
2016-02-03,116.38796544963307,115.86103026054418,116.816719066249,116.6952296784201
2016-02-04,117.3881163827612,116.99385001826093,117.64297961389136,117.04064755826823
2016-02-05,117.11558354710107,116.90040073662149,117.56722233638853,117.06873731368223
2016-02-08,118.95770443451616,117.8170792221996,119.12108147243721,117.95845971726622
2016-02-09,118.25132470615259,117.65766517499573,118.46004816118591,118.1188832224817
2016-02-10,119.26806589273338,118.6384816050488,119.63359428243609,118.666954840634
2016-02-11,118.91411824893783,117.4928714660037,118.9331734717964,118.75239504811927
2016-02-12,117.19520318743902,117.04637206981072,118.08674260950873,117.97337933660361
2016-02-15,117.48362875976316,117.48362875976316,117.77510474948326,117.72799470758348
2016-02-16,117.59621315118257,117.32417341112321,117.88841278309079,117.66206703054725
2016-02-17,116.95823427992588,116.60482994606475,117.60544882522339,117.31378731213684
2016-02-18,118.69183968542288,117.97048184327237,118.85440504754438,118.01767003600968
2016-02-19,117.97047429497312,117.77266369451047,118.39659978407842,117.99878720880392
2016-02-22,117.81952943659896,117.81010990274571,118.15016474210579,117.88550837308347
2016-02-23,118.6424584228344,118.23439365622251,119.18774306483581,118.2533111592075
2016-02-24,117.62104144029702,116.9305252112941,117.94104747446283,117.91274162306897
2016-02-25,118.63183714251636,117.93155348357043,118.70804195198642,118.2711963576031
2016-02-26,117.42236002010833,117.32879638662618,117.97743727683347,117.79811157217269
2016-02-29,118.22283034636928,117.96763235953271,118.32711672438131,118.0431316442428
